"country","year","country_name","ISO","COWcode","Region_UN","Vdem_libdem_z","Vdem_libdem_m1","ChgDem","Vdem_regime_di","Vdem_polyarchy_z","Vdem_liberal_z","corruption_z","corruption_m1","swiid_gini","swiid_gini_m1","edu_year","edu_year_m1","DemYear_z","lg_imp_mdpgdp","lg_imp_imfgdp","lg_mdpgdp_lag1","lg_imfgdp_lag1"
"Gabon",1987,"Gabon","GAB",481,"Middle Africa",-1.17958518148623,1.30754829130681,-2.48713347279303,0,-1.31109103039104,-1.23144950795704,NA,NA,NA,30.1,NA,NA,NA,8.9851948179913,9.19353028613249,9.03431892773071,9.36396388381292
"Georgia",1987,"Georgia","GEO",365,"Western Asia",-1.39827500994344,-1.17958518148623,-0.218689828457212,0,-1.5160472827675,NA,NA,NA,NA,NA,NA,NA,-0.766077774087653,9.48242645680341,9.64307535462496,9.49197922088068,9.8170322693966
"Germany",1987,"Germany","DEU",260,"Western Europe",1.54106454881196,-1.39827500994344,2.9393395587554,1,1.32297636126191,1.24158598301208,NA,NA,25,NA,NA,NA,-1.65468060798406,10.0749166681637,9.86000112617714,10.0370564444575,9.90872684466608
"Ghana",1987,"Ghana","GHA",452,"Western Africa",-1.28707679208384,1.54106454881196,-2.8281413408958,0,-1.67545770128252,-1.35936513680027,NA,NA,39.6,25,NA,NA,-1.21123269419977,7.41034709782102,7.23608658926958,7.40000951716269,7.17587077971397
"Greece",1987,"Greece","GRC",350,"Southern Europe",1.28901525499687,-1.28707679208384,2.57609204708071,1,1.19392983198785,1.00513588121096,NA,NA,34.1,39.6,NA,NA,-1.65468060798406,9.56591471047088,9.36350827033582,9.55555995306906,9.36524622923485
"Guatemala",1987,"Guatemala","GTM",90,"Central America",-0.864523564217363,1.28901525499687,-2.15353881921424,0,-0.6810403286412,-0.898093626729224,NA,NA,50.2,34.1,NA,NA,-0.919219323375134,8.14293601043227,8.02529580756023,8.15162164696975,7.99337936705829
"Guinea",1987,"Guinea","GIN",438,"Western Africa",-1.41680804625337,-0.864523564217363,-0.552284482036009,0,-1.6337073535762,-1.88653257688146,NA,NA,NA,50.2,NA,NA,NA,7.10002716662926,6.60828378956935,7.10824413973154,6.58142468011025
"Guyana",1987,"Guyana","GUY",110,"South America",-0.827457491597497,-1.41680804625337,0.589350554655875,0,-0.882201094862535,-0.506594277845399,NA,NA,NA,NA,NA,NA,-1.00686349853552,7.54392917037605,7.54392917037605,7.51140181330307,7.51140181330307
"Haiti",1987,"Haiti","HTI",41,"Caribbean",-1.35008911553761,-0.827457491597497,-0.522631623940116,0,-1.46670596275094,-1.73535956097582,NA,NA,NA,NA,NA,NA,NA,7.82324569068552,7.1505949688327,7.85166117788927,7.15189445732558
"Honduras",1987,"Honduras","HND",91,"Central America",-0.864523564217363,-1.35008911553761,0.485565551320249,0,-0.373605950076517,-1.2353257391341,NA,NA,NA,NA,NA,NA,-1.77817994509845,8.02387999273488,7.49223594093875,8.01135510916129,7.43872261419351
