"country","year","country_name","Region_UN","country_code","muslism_prop_2010","muslism_prop_1990","vdem_cntryname","COWcode","Vdem_polyarchy","Vdem_libdem","Vdem_region","Vdem_regime"
"Belize",2000,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2001,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2002,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2003,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2004,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2005,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2006,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2007,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2008,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2009,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2010,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2011,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2012,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2013,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2014,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2015,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2016,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2017,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2018,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
"Belize",2019,"Belize","Central America","BLZ",1,0.53318546323153,NA,NA,NA,NA,NA,NA
