"","country","year","item","r","n","survey","cc_rank"
"183","Mexico",2010,"church_amb",3,140.999195383497,"amb_combo",313
"184","Mexico",2010,"church_amb",4,274.998430712494,"amb_combo",313
"185","Mexico",2010,"church_amb",5,309.998230984994,"amb_combo",313
"186","Mexico",2010,"church_amb",6,284.998373647494,"amb_combo",313
"187","Mexico",2010,"church_amb",7,347.998014137993,"amb_combo",313
"188","Mexico",2010,"church_lb",1,43.0000000123577,"lb2010",313
"189","Mexico",2010,"church_lb",2,283.000000081331,"lb2010",313
"190","Mexico",2010,"church_lb",3,680.000000195425,"lb2010",313
"191","Mexico",2010,"church_lb",4,124.000000035636,"lb2010",313
"192","Mexico",2010,"strong_amb_1",1,245.998596200995,"amb_combo",313
"193","Mexico",2010,"strong_amb_1",2,1237.99293535297,"amb_combo",313
"194","Mexico",2010,"threestate_amb",1,236.998647559495,"amb_combo",313
"195","Mexico",2010,"threestate_amb",2,163.999064133997,"amb_combo",313
"196","Mexico",2010,"threestate_amb",3,1036.99408235948,"amb_combo",313
"197","Mexico",2010,"threestate_lb",1,125.000000035924,"lb2010",313
"198","Mexico",2010,"threestate_lb",2,392.000000112657,"lb2010",313
"199","Mexico",2010,"threestate_lb",3,584.000000167835,"lb2010",313
"200","Mexico",2011,"church_lb",1,87.00000002842,"lb2011",313
"201","Mexico",2011,"church_lb",2,367.000000119887,"lb2011",313
"202","Mexico",2011,"church_lb",3,580.000000189467,"lb2011",313
"203","Mexico",2011,"church_lb",4,75.0000000245,"lb2011",313
"204","Mexico",2011,"threestate_lb",1,166.000000054227,"lb2011",313
"205","Mexico",2011,"threestate_lb",2,436.000000142427,"lb2011",313
"206","Mexico",2011,"threestate_lb",3,475.000000155167,"lb2011",313
"207","Mexico",2012,"army_wvs",1,142.117962160199,"wvs_combo",313
"208","Mexico",2012,"army_wvs",2,886.736017422088,"wvs_combo",313
"209","Mexico",2012,"army_wvs",3,699.580672887178,"wvs_combo",313
"210","Mexico",2012,"army_wvs",4,229.190234751307,"wvs_combo",313
"211","Mexico",2012,"church_amb",1,43.9997489139991,"amb_combo",313
"212","Mexico",2012,"church_amb",2,53.9996918489989,"amb_combo",313
"213","Mexico",2012,"church_amb",3,143.999178263997,"amb_combo",313
"214","Mexico",2012,"church_amb",4,282.998385060494,"amb_combo",313
"215","Mexico",2012,"church_amb",5,295.998310875994,"amb_combo",313
"216","Mexico",2012,"church_amb",6,304.998259517494,"amb_combo",313
"217","Mexico",2012,"church_amb",7,362.997928540493,"amb_combo",313
"218","Mexico",2012,"evdemoc_wvs",1,73.0606425189756,"wvs_combo",313
"219","Mexico",2012,"evdemoc_wvs",2,230.191065470745,"wvs_combo",313
"220","Mexico",2012,"evdemoc_wvs",3,1252.03923001697,"wvs_combo",313
"221","Mexico",2012,"evdemoc_wvs",4,394.327303458581,"wvs_combo",313
"222","Mexico",2012,"impdemoc_wvs",1,70.0581503606616,"wvs_combo",313
"223","Mexico",2012,"impdemoc_wvs",2,16.0132915110084,"wvs_combo",313
"224","Mexico",2012,"impdemoc_wvs",3,24.0199372665125,"wvs_combo",313
"225","Mexico",2012,"impdemoc_wvs",4,19.0157836693224,"wvs_combo",313
"226","Mexico",2012,"impdemoc_wvs",5,101.08390266324,"wvs_combo",313
"227","Mexico",2012,"impdemoc_wvs",6,86.0714418716699,"wvs_combo",313
"228","Mexico",2012,"impdemoc_wvs",7,107.088886979868,"wvs_combo",313
"229","Mexico",2012,"impdemoc_wvs",8,240.199372665125,"wvs_combo",313
"230","Mexico",2012,"impdemoc_wvs",9,218.181096837489,"wvs_combo",313
"231","Mexico",2012,"impdemoc_wvs",10,1108.92043713733,"wvs_combo",313
"232","Mexico",2012,"strong_amb_1",1,220.998738863495,"amb_combo",313
"233","Mexico",2012,"strong_amb_1",2,1271.99274133197,"amb_combo",313
"234","Mexico",2012,"strong_wvs",1,145.120454318513,"wvs_combo",313
"235","Mexico",2012,"strong_wvs",2,1005.83487303521,"wvs_combo",313
"236","Mexico",2012,"strong_wvs",3,608.505077418318,"wvs_combo",313
"237","Mexico",2012,"strong_wvs",4,200.166143887604,"wvs_combo",313
"238","Mexico",2012,"threestate_amb",1,165.999052720997,"amb_combo",313
"239","Mexico",2012,"threestate_amb",2,205.998824460996,"amb_combo",313
"240","Mexico",2012,"threestate_amb",3,1094.99375138248,"amb_combo",313
"241","Mexico",2013,"church_lb",1,55.0181609842565,"lb2013",313
"242","Mexico",2013,"church_lb",2,284.093776718706,"lb2013",313
"243","Mexico",2013,"church_lb",3,634.209346618521,"lb2013",313
"244","Mexico",2013,"church_lb",4,155.051180955632,"lb2013",313
"245","Mexico",2013,"strong_pew",1,217.2551565636,"pew2013",313
"246","Mexico",2013,"strong_pew",2,729.21952952678,"pew2013",313
"247","Mexico",2013,"threestate_lb",1,187.061747346472,"lb2013",313
"248","Mexico",2013,"threestate_lb",2,446.147269072335,"lb2013",313
"249","Mexico",2013,"threestate_lb",3,442.14594827348,"lb2013",313
"250","Mexico",2013,"threestate_pew",1,217.037139412079,"pew2013",313
"251","Mexico",2013,"threestate_pew",2,117.998610596164,"pew2013",313
"252","Mexico",2013,"threestate_pew",3,601.770028008314,"pew2013",313
"253","Mexico",2014,"church_amb",1,55.9996804359988,"amb_combo",313
"254","Mexico",2014,"church_amb",2,53.9996918489989,"amb_combo",313
"255","Mexico",2014,"church_amb",3,148.999149731497,"amb_combo",313
"256","Mexico",2014,"church_amb",4,285.998367940994,"amb_combo",313
"257","Mexico",2014,"church_amb",5,318.998179626493,"amb_combo",313
"258","Mexico",2014,"church_amb",6,206.998818754496,"amb_combo",313
"259","Mexico",2014,"church_amb",7,373.997865768992,"amb_combo",313
"260","Mexico",2014,"threestate_amb",1,259.998516309995,"amb_combo",313
"261","Mexico",2014,"threestate_amb",2,199.998858699996,"amb_combo",313
"262","Mexico",2014,"threestate_amb",3,949.99457882498,"amb_combo",313
"263","Mexico",2015,"church_lb",1,90.3090852696125,"lb2015",313
"264","Mexico",2015,"church_lb",2,349.195129709168,"lb2015",313
"265","Mexico",2015,"church_lb",3,511.751483194471,"lb2015",313
"266","Mexico",2015,"church_lb",4,207.710896120109,"lb2015",313
"267","Mexico",2015,"impdemoc_pew",1,27.8223362052458,"pew2015",313
"268","Mexico",2015,"impdemoc_pew",2,93.7357747757898,"pew2015",313
"269","Mexico",2015,"impdemoc_pew",3,277.374615939808,"pew2015",313
"270","Mexico",2015,"impdemoc_pew",4,592.267476545982,"pew2015",313
"271","Mexico",2015,"threestate_lb",1,181.621604819999,"lb2015",313
"272","Mexico",2015,"threestate_lb",2,373.277552447732,"lb2015",313
"273","Mexico",2015,"threestate_lb",3,582.995317129388,"lb2015",313
"274","Mexico",2016,"church_amb",1,142.999183970497,"amb_combo",313
"275","Mexico",2016,"church_amb",2,86.9995035344982,"amb_combo",313
"276","Mexico",2016,"church_amb",3,181.998961416996,"amb_combo",313
"277","Mexico",2016,"church_amb",4,337.998071202993,"amb_combo",313
"278","Mexico",2016,"church_amb",5,326.998133974493,"amb_combo",313
"279","Mexico",2016,"church_amb",6,190.998910058496,"amb_combo",313
"280","Mexico",2016,"church_amb",7,211.998790221996,"amb_combo",313
"281","Mexico",2016,"church_lb",1,65.6523175820914,"lb2016",313
"282","Mexico",2016,"church_lb",2,265.920203630522,"lb2016",313
"283","Mexico",2016,"church_lb",3,535.496399294027,"lb2016",313
"284","Mexico",2016,"church_lb",4,273.083350796765,"lb2016",313
"285","Mexico",2016,"threestate_lb",1,204.81463876739,"lb2016",313
"286","Mexico",2016,"threestate_lb",2,336.590792510932,"lb2016",313
"287","Mexico",2016,"threestate_lb",3,552.603990035754,"lb2016",313
"288","Mexico",2017,"army_pew",1,75.0852747695126,"pew2017",313
"289","Mexico",2017,"army_pew",2,340.027911192252,"pew2017",313
"290","Mexico",2017,"army_pew",3,294.532420272517,"pew2017",313
"291","Mexico",2017,"army_pew",4,234.148138063637,"pew2017",313
"292","Mexico",2017,"church_lb",1,71.237378909398,"lb2017",313
"293","Mexico",2017,"church_lb",2,443.477767295125,"lb2017",313
"294","Mexico",2017,"church_lb",3,567.892344545342,"lb2017",313
"295","Mexico",2017,"church_lb",4,85.2841860182934,"lb2017",313
"296","Mexico",2017,"evdemoc_pew",1,109.930758824881,"pew2017",313
"297","Mexico",2017,"evdemoc_pew",2,234.214874464975,"pew2017",313
"298","Mexico",2017,"evdemoc_pew",3,486.574600732648,"pew2017",313
"299","Mexico",2017,"evdemoc_pew",4,86.5802694241948,"pew2017",313
"300","Mexico",2017,"strong_pew.1",1,23.9875490345606,"pew2017",313
"301","Mexico",2017,"strong_pew.1",2,253.99237584152,"pew2017",313
"302","Mexico",2017,"strong_pew.1",3,337.154547216727,"pew2017",313
"303","Mexico",2017,"strong_pew.1",4,333.879791776347,"pew2017",313
"304","Mexico",2017,"threestate_lb",1,155.51822156277,"lb2017",313
"305","Mexico",2017,"threestate_lb",2,462.541291228626,"lb2017",313
"306","Mexico",2017,"threestate_lb",3,453.511200944336,"lb2017",313
"307","Mexico",2019,"church_amb",1,45.9997375009991,"amb_combo",313
"308","Mexico",2019,"church_amb",2,59.9996576099988,"amb_combo",313
"309","Mexico",2019,"church_amb",3,140.999195383497,"amb_combo",313
"310","Mexico",2019,"church_amb",4,316.998191039493,"amb_combo",313
"311","Mexico",2019,"church_amb",5,435.997511965991,"amb_combo",313
"312","Mexico",2019,"church_amb",6,269.998459244994,"amb_combo",313
"313","Mexico",2019,"church_amb",7,242.998613320495,"amb_combo",313
"314","Peru",1995,"threestate_lb",1,279.460362092844,"lb1995",296
"315","Peru",1995,"threestate_lb",2,174.041150769564,"lb1995",296
"316","Peru",1995,"threestate_lb",3,638.482393108917,"lb1995",296
"317","Peru",1996,"army_wvs",1,62.0515046051574,"wvs_combo",296
"318","Peru",1996,"army_wvs",2,129.107162807505,"wvs_combo",296
"319","Peru",1996,"army_wvs",3,306.254200148035,"wvs_combo",296
"320","Peru",1996,"army_wvs",4,562.466864324169,"wvs_combo",296
"321","Peru",1996,"church_wvs",1,25.0207679859506,"wvs_combo",296
"322","Peru",1996,"church_wvs",2,118.098024893687,"wvs_combo",296
"323","Peru",1996,"church_wvs",3,586.486801590681,"wvs_combo",296
