country,year,item,r,n,survey,cc_rank,y_claassen
Colombia,2008,church_amb,3,112.9993552,amb_combo,332,NA
Colombia,2008,church_amb,4,192.9988986,amb_combo,332,NA
Colombia,2008,church_amb,5,250.9985677,amb_combo,332,NA
Colombia,2008,church_amb,6,326.998134,amb_combo,332,NA
Colombia,2008,church_amb,7,457.9973864,amb_combo,332,NA
Colombia,2008,church_lb,1,104.8913477,lb2008,332,NA
Colombia,2008,church_lb,2,129.7062072,lb2008,332,NA
Colombia,2008,church_lb,3,704.3538566,lb2008,332,NA
Colombia,2008,church_lb,4,261.2745224,lb2008,332,NA
Colombia,2008,strong_amb_1,1,150.9991383,amb_combo,332,NA
Colombia,2008,strong_amb_1,2,1292.992621,amb_combo,332,NA
Colombia,2008,threestate_amb,1,233.9986647,amb_combo,332,NA
Colombia,2008,threestate_amb,2,179.9989728,amb_combo,332,NA
Colombia,2008,threestate_amb,3,936.994653,amb_combo,332,NA
Colombia,2008,threestate_lb,1,215.2325143,lb2008,332,NA
Colombia,2008,threestate_lb,2,309.8361648,lb2008,332,NA
Colombia,2008,threestate_lb,3,675.1572548,lb2008,332,NA
Colombia,2009,church_amb,1,36,amb_colombia2009,332,NA
Colombia,2009,church_amb,2,53,amb_colombia2009,332,NA
Colombia,2009,church_amb,3,123,amb_colombia2009,332,NA
Colombia,2009,church_amb,4,186,amb_colombia2009,332,NA
Colombia,2009,church_amb,5,279,amb_colombia2009,332,NA
Colombia,2009,church_amb,6,373,amb_colombia2009,332,NA
Colombia,2009,church_amb,7,383,amb_colombia2009,332,NA
Colombia,2009,church_lb,1,149.3584132,lb2009,332,NA
Colombia,2009,church_lb,2,177.3130894,lb2009,332,NA
Colombia,2009,church_lb,3,627.8196053,lb2009,332,NA
Colombia,2009,church_lb,4,245.5088922,lb2009,332,NA
Colombia,2009,strong_amb_1,1,148,amb_colombia2009,332,NA
Colombia,2009,strong_amb_1,2,1309,amb_colombia2009,332,NA
Colombia,2009,threestate_amb,1,207,amb_colombia2009,332,NA
Colombia,2009,threestate_amb,2,160,amb_colombia2009,332,NA
Colombia,2009,threestate_amb,3,1036,amb_colombia2009,332,NA
Colombia,2009,threestate_lb,1,310.4229721,lb2009,332,NA
Colombia,2009,threestate_lb,2,293.0638586,lb2009,332,NA
Colombia,2009,threestate_lb,3,596.5131695,lb2009,332,NA
Colombia,2010,church_amb,1,34.99980027,amb_combo,332,NA
Colombia,2010,church_amb,2,44.99974321,amb_combo,332,NA
Colombia,2010,church_amb,3,95.99945218,amb_combo,332,NA
Colombia,2010,church_amb,4,218.9987503,amb_combo,332,NA
Colombia,2010,church_amb,5,288.9983508,amb_combo,332,NA
Colombia,2010,church_amb,6,289.9983451,amb_combo,332,NA
Colombia,2010,church_amb,7,435.997512,amb_combo,332,NA
Colombia,2010,church_lb,1,113.7602658,lb2010,332,NA
Colombia,2010,church_lb,2,152.6318807,lb2010,332,NA
Colombia,2010,church_lb,3,704.2361358,lb2010,332,NA
Colombia,2010,church_lb,4,229.371718,lb2010,332,NA
