"","ISO","year","dependence","wdi_pop","country","country_name","COWcode","Region_UN","muslism_prop_2010","muslism_prop_1990","dependence_pc","dependence_pc_di","dependence_pc_di_m1","lg_imp_mdpgdp","lg_imp_imfgdp","lg_mdpgdp_lag1","lg_imfgdp_lag1","mdprgdp_grwth_r","imfgdp_grwth_r","mdprgdp_grwth","imfgdp_grwth","imfgdp_grwth_lag1","mdprgdp_grwth_lag1","imfgdp_grwth_rlag1","mdprgdp_grwth_rlag1","firstyear","regime","country_text_id","Vdem_polyarchy","Vdem_libdem","Vdem_region","Vdem_regime","Vdem_liberal","Vdem_corruption","liberal_sd","polyarchy_sd","libdem_sd","corr_sd","Vdem_libdem_m1","Vdem_libdem_m2","Region_libdem","Chgdem","upchgdem","downchgdem","Region_libdem_m1"
"47","GTM",1986,0.603038658,8104921,"Guatemala","Guatemala",NA,NA,NA,NA,20.91941103,0,NA,8.151621647,7.993379367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","GIN",1986,26.36025175,5629418,"Guinea","Guinea",NA,NA,NA,NA,322.1222764,0,NA,7.10824414,6.58142468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","GUY",1986,19.97412495,764446,"Guyana","Guyana",NA,NA,NA,NA,365.2818731,0,NA,7.511401813,7.511401813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","HTI",1986,0.408686931,6478541,"Haiti","Haiti",NA,NA,NA,NA,10.50325414,0,NA,7.851661178,7.151894457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","HND",1986,0.690725542,4410269,"Honduras","Honduras",NA,NA,NA,NA,20.82537508,0,NA,8.011355109,7.438722614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","HUN",1986,NA,10630564,"Hungary","Hungary",NA,NA,NA,NA,271.6157,0,NA,9.349580439,9.144692106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","ISL",1986,0,243180,"Iceland","Iceland",NA,NA,NA,NA,0,0,NA,10.28813752,9.692635532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","IND",1986,2.429740107,801975244,"India","India",NA,NA,NA,NA,25.60946073,0,NA,6.960347729,6.74254237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","IDN",1986,8.092557078,168374287,"Indonesia","Indonesia",NA,NA,NA,NA,208.707047,0,NA,7.855157006,7.594420971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","IRN",1986,4.009366007,49260255,"Iran","Iran",NA,NA,NA,NA,219.4726952,0,NA,8.60776489,8.758153138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
