survey,item,variable,values,non_response
pew2009,impdemoc_81,Q41A,c(4:1),"c(8,9)"
,,,,
pew2010,threestate_11 ,Q17,"c(2,3,1)","c(8,9)"
,,,,
pew2011,threestate_11 ,Q8,"c(2,3,1)","c(8,9)"
,,,,
pew2011,strong_36,Q57,c(2:1),"c(8,9)"
,,,,
pew2011,impdemoc_81,EGY12B,c(4:1),"c(8,9)"
,,,,
pew2012,threestate_11 ,Q21,"c(2,3,1)","c(8,9)"
,,,,
pew2012,strong_36,q71,c(2:1),"c(8,9)"
,,,,
pew2012,impdemoc_81,Q115B,c(4:1),"c(8,9)"
,,,,
pew2013,threestate_11 ,Q15,"c(2,3,1)","c(8,9)"
,,,,
pew2013,strong_36,Q88,c(2:1),"c(8,9)"
,,,,
pew2013,impdemoc_81,Q122B,c(4:1),"c(8,9)"
,,,,
pew2014,threestate_11 ,Q19,"c(2,3,1)","c(8,9)"
,,,,
pew2014,strong_36,QET1,c(2:1),"c(8,9)"
,,,,
pew2014,impdemoc_81,Q104B,c(4:1),"c(8,9)"
,,,,
pew2015,strong_36,Q9,c(2:1),"c(8,9)"
,,,,
pew2015,impdemoc_81,Q56E,c(4:1),"c(8,9)"
,,,,
pew2016,strong_36,Q9,c(2:1),"c(8,9)"
,,,,
pew2016,impdemoc_81,Q33e,c(4:1),"c(8,9)"
,,,,
pew2017,army_43,polsys_junta,c(1:4),"c(8,9)"
,,,,
pew2017,evdemoc_4,polsys_republic,c(4:1),"c(8,9)"
,,,,
wvs_combo,church_21,E123,c(4:1),"c(-1,-2)"
,,,,
wvs_combo,strong_35,E114,c(1:4),"c(-1,-2)"
,,,,
wvs_combo,army_43 ,E116,c(1:4),"c(-1,-2)"
,,,,
wvs_combo,evdemoc_4,E117,c(4:1),"c(-1,-2)"
,,,,
wvs_combo,impdemoc_82 ,E235,c(1:10),"c(-1,-2)"
,,,,
eurob1715,threestate_11 ,v122,"c(2,3,1)",NA
,,,,
eurob2936,threestate_11 ,v313,"c(2,3,1)",NA
,,,,
eurob2141,threestate_11 ,v27,"c(2,3,1)",NA
,,,,
evs_combo,church_21,E123,c(4:1),"c(-1,-2)"
,,,,
evs_combo,strong_35,E114,c(1:4),"c(-1,-2)"
,,,,
evs_combo,army_43,E116,c(1:4),"c(-1,-2)"
,,,,
evs_combo,evdemoc_4,E117,c(4:1),"c(-1,-2)"
,,,,
evs17,strong_35,v145,c(1:4),"c(-1,-2)"
,,,,
evs17,army_43,v147,c(1:4),"c(-1,-2)"
,,,,
evs17,evdemoc_4,v148,c(4:1),"c(-1,-2)"
,,,,
sasianb1,threestate_12,c23,"c(2,3,1)","c(0,8)"
,,,,
sasianb1,strong_310,c18a,c(1:4),"c(0,8)"
,,,,
sasianb1,army_45,c18b,c(1:4),"c(0,8)"
,,,,
sasianb1,election,c18d,c(4:1),"c(0,8)"
,,,,
sasianb1,democsuit_73,c17,c(4:1),"c(0,8)"
,,,,
sasianb2,threestate_12,GBC34,"c(2,3,1)","c(7,8,9)"
,,,,
sasianb2,strong_310,GBC35a,c(1:4),"c(8,9)"
,,,,
sasianb2,army_45,GBC35b,c(1:4),"c(7,8,9)"
,,,,
neb_combo,threestate_12,a7,"c(2,3,1)",c(98)
,,,,
neb_combo,strong_31,a3c,c(1:4),c(98)
,,,,
neb_combo,army_41,a3b,c(1:4),c(98)
